 "x",  "y",  "u",  "v",  "sigma",  "x_c",  "y_c",  "u_c",  "v_c",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma"
261,670,1.97318,86.0304,0.0167795,24,253,1.97318,-86.0303,0.0110515,0.00999355,-0.000480573,0.0112372,0.00980785,-0.368745
270,670,2.03633,86.0214,0.0195649,33,253,2.03632,-86.0214,0.0102891,0.0100437,-0.000474468,0.0106565,0.00967635,-0.658875
279,670,2.0896,86.0046,0.0182204,42,253,2.0896,-86.0046,0.00973035,0.0101161,-0.000470906,0.0104321,0.00941436,-0.979785
288,670,2.10494,85.9952,0.0182979,51,253,2.10495,-85.9952,0.00937502,0.0102113,-0.000471,0.0104229,0.00916333,-1.14839
297,670,2.10339,86.0027,0.018984,60,253,2.10339,-86.0027,0.00922312,0.0103293,-0.000475816,0.0105058,0.00904662,-1.21559
306,670,2.15568,86.0191,0.0190667,69,253,2.15567,-86.0191,0.00951154,0.010472,-0.000471075,0.0106645,0.00931907,-1.18292
315,670,2.18517,86.0426,0.0199785,78,253,2.18518,-86.0427,0.010298,0.0107034,-0.000489342,0.0110304,0.00997103,-0.981762
324,670,2.24902,86.0518,0.0215834,87,253,2.24902,-86.0518,0.0116094,0.0110104,-0.000532672,0.011921,0.0106988,-0.52932
207,679,1.03615,86.204,0.0256899,-30,244,1.03615,-86.204,0.0215333,0.0113933,-0.000446142,0.0215529,0.0113737,-0.043885
216,679,1.6275,86.1349,0.0218662,-21,244,1.6275,-86.1349,0.0186978,0.0112212,-0.000471698,0.0187275,0.0111916,-0.0627581
225,679,1.77952,86.1147,0.020933,-12,244,1.77953,-86.1147,0.0164093,0.0111333,-0.000490404,0.0164545,0.0110881,-0.091901
234,679,1.81294,86.1124,0.0206367,-3,244,1.81294,-86.1124,0.0146157,0.0110695,-0.000502384,0.0146855,0.0109997,-0.13805
243,679,1.85835,86.0875,0.0195015,6,244,1.85835,-86.0875,0.0132228,0.0110441,-0.000516493,0.0133391,0.0109279,-0.221367
252,679,1.90363,86.0657,0.0179323,15,244,1.90363,-86.0657,0.0120386,0.0110376,-0.000529058,0.0122664,0.0108098,-0.40655
261,679,1.95308,86.0588,0.0177523,24,244,1.95309,-86.0588,0.0110567,0.01105,-0.000541534,0.0115949,0.0105118,-0.782312
270,679,2.04261,86.0619,0.0214308,33,244,2.0426,-86.062,0.0102767,0.0110826,-0.000555082,0.0113656,0.00999373,-1.09936
279,679,2.11637,86.0408,0.0187229,42,244,2.11636,-86.0408,0.00969836,0.0111362,-0.0005708,0.0113352,0.00949931,-1.23527
288,679,2.13578,86.0249,0.0178003,51,244,2.13577,-86.0249,0.00932167,0.0112114,-0.000589748,0.0113804,0.00915272,-1.2918
297,679,2.12765,86.0372,0.018708,60,244,2.12766,-86.0372,0.0091468,0.0113088,-0.000612951,0.0114705,0.00898512,-1.31289
306,679,2.17166,86.0694,0.0196286,69,244,2.17166,-86.0693,0.00941971,0.0114327,-0.000628925,0.011613,0.00923937,-1.29155
315,679,2.1869,86.0801,0.0209414,78,244,2.18689,-86.0801,0.010192,0.0116406,-0.000667287,0.0119011,0.00993145,-1.19857
324,679,2.26653,86.0943,0.024563,87,244,2.26654,-86.0943,0.0114912,0.0119215,-0.00072868,0.0124661,0.0109466,-0.928938
207,688,1.03858,86.1225,0.0293769,-30,235,1.03857,-86.1225,0.0214572,0.0124234,-0.00045971,0.0214806,0.0124001,-0.0507131
216,688,1.61615,86.1342,0.0249194,-21,235,1.61615,-86.1342,0.018649,0.0122312,-0.000493398,0.0186867,0.0121935,-0.0762825
225,688,1.80844,86.1377,0.0221923,-12,235,1.80844,-86.1377,0.0163846,0.0121227,-0.000521097,0.0164474,0.0120599,-0.119915
234,688,1.82044,86.1386,0.0211688,-3,235,1.82043,-86.1387,0.0146138,0.0120347,-0.000543261,0.0147235,0.0119249,-0.19936
243,688,1.85133,86.1264,0.0201325,6,235,1.85133,-86.1264,0.013224,0.0119854,-0.000568249,0.0134452,0.0117642,-0.371226
252,688,1.89711,86.1091,0.0194956,15,235,1.89711,-86.1091,0.0120398,0.0119536,-0.000592149,0.0125904,0.011403,-0.74908
261,688,1.95508,86.1083,0.0191185,24,235,1.95508,-86.1083,0.0110556,0.0119398,-0.00061627,0.0122561,0.0107392,-1.09656
270,688,2.05036,86.1141,0.0232461,33,235,2.05035,-86.1141,0.0102709,0.0119451,-0.000641685,0.0121627,0.0100533,-1.24378
279,688,2.10102,86.0951,0.020701,42,235,2.10101,-86.0952,0.00968588,0.0119705,-0.000669427,0.0121522,0.00950418,-1.30575
288,688,2.12795,86.0828,0.0189896,51,235,2.12796,-86.0828,0.0093005,0.0120168,-0.000700502,0.0121869,0.00913049,-1.3327
297,688,2.18373,86.1157,0.0199317,60,235,2.18375,-86.1157,0.00911513,0.0120848,-0.000735902,0.0122572,0.00894278,-1.34073
306,688,2.22647,86.1348,0.0213964,69,235,2.22647,-86.1348,0.00938673,0.0121813,-0.000766594,0.0123778,0.00919025,-1.3199
315,688,2.23458,86.1299,0.0217906,78,235,2.23459,-86.1299,0.0101575,0.0123552,-0.000819278,0.012627,0.0098857,-1.25046
324,688,2.7931,86.1504,0.0265092,87,235,2.79309,-86.1503,0.0114572,0.0126002,-0.000894335,0.0130901,0.0109674,-1.06971
207,697,1.11343,86.0812,0.031374,-30,226,1.11343,-86.0812,0.0212764,0.0132938,-0.000523873,0.0213107,0.0132595,-0.0652531
216,697,1.68815,86.0705,0.0272586,-21,226,1.68814,-86.0706,0.0185121,0.0130723,-0.000554831,0.0185681,0.0130163,-0.100614
225,697,1.86398,86.1255,0.024179,-12,226,1.86398,-86.1255,0.0162878,0.0129349,-0.000582017,0.016386,0.0128368,-0.167079
234,697,1.84106,86.1329,0.0230605,-3,226,1.84106,-86.1329,0.0145567,0.0128176,-0.000605796,0.0147469,0.0126274,-0.304248
243,697,1.85582,86.1224,0.0217195,6,226,1.85582,-86.1224,0.0131856,0.0127376,-0.000634115,0.0136341,0.0122891,-0.615587
252,697,1.90345,86.1081,0.0206255,15,226,1.90346,-86.1081,0.0120167,0.0126737,-0.000662166,0.0130844,0.011606,-1.01566
261,697,1.98898,86.1242,0.0210049,24,226,1.98898,-86.1242,0.0110451,0.0126268,-0.000691109,0.0128863,0.0107857,-1.21171
270,697,2.06354,86.1343,0.0255251,33,226,2.06354,-86.1343,0.0102706,0.0125981,-0.000721934,0.0128039,0.0100649,-1.29317
279,697,2.07727,86.1041,0.0235274,42,226,2.07727,-86.1041,0.00969335,0.0125887,-0.000755604,0.012774,0.00950802,-1.33027
288,697,2.09793,86.0974,0.0206174,51,226,2.09793,-86.0974,0.00931357,0.0125993,-0.000793071,0.0127807,0.00913217,-1.34593
297,697,2.16537,86.1307,0.0198264,60,226,2.16537,-86.1307,0.00913176,0.0126308,-0.000835285,0.01282,0.0089426,-1.34808
306,697,2.23524,86.1836,0.0203641,69,226,2.23523,-86.1835,0.00941729,0.0126923,-0.000875411,0.0129116,0.00919797,-1.32532
315,697,2.25332,86.1905,0.0220488,78,226,2.25333,-86.1906,0.0102008,0.0128228,-0.000937259,0.0131234,0.00990023,-1.26046
324,697,2.94044,86.1649,0.0278428,87,226,2.94043,-86.1649,0.0115152,0.0130225,-0.00102176,0.0135385,0.0109992,-1.10316
207,706,1.21477,86.1807,0.0333682,-30,217,1.21477,-86.1807,0.021022,0.0138713,-0.000525525,0.0210604,0.0138329,-0.0729704
216,706,1.83729,86.0516,0.0287833,-21,217,1.83728,-86.0516,0.0183151,0.0136292,-0.000555988,0.0183802,0.0135641,-0.116495
225,706,1.87761,86.1452,0.0272335,-12,217,1.87761,-86.1453,0.0161424,0.0134713,-0.000586303,0.0162655,0.0133483,-0.206833
234,706,1.8611,86.1173,0.0254299,-3,217,1.8611,-86.1172,0.0144657,0.0133324,-0.000615544,0.0147357,0.0130624,-0.413376
243,706,1.87983,86.1004,0.0235175,6,217,1.87984,-86.1004,0.0131216,0.0132277,-0.000651932,0.0138287,0.0125205,-0.82599
252,706,1.93179,86.0963,0.021441,15,217,1.93179,-86.0963,0.0119751,0.0131374,-0.000689153,0.0134578,0.0116548,-1.1357
261,706,2.04274,86.1383,0.0241923,24,217,2.04276,-86.1383,0.0110228,0.0130627,-0.000728055,0.0132959,0.0107896,-1.26083
270,706,2.11324,86.1219,0.0303203,33,217,2.11325,-86.1219,0.0102648,0.0130045,-0.000769399,0.0132058,0.0100635,-1.31492
279,706,2.08296,86.0861,0.0274452,42,217,2.08295,-86.0861,0.00970129,0.0129639,-0.00081395,0.0131556,0.0095095,-1.33939
288,706,2.0744,86.1051,0.023786,51,217,2.0744,-86.1052,0.00933287,0.0129415,-0.000862484,0.013137,0.00913732,-1.34784
297,706,2.13822,86.1568,0.0225454,60,217,2.13821,-86.1568,0.0091602,0.012938,-0.000915798,0.0131483,0.0089499,-1.34508
306,706,2.24974,86.2755,0.023369,69,217,2.24976,-86.2755,0.00946927,0.0129656,-0.00097119,0.0132172,0.00921761,-1.31725
324,706,3.2336,86.2583,0.0286848,87,217,3.23361,-86.2584,0.0116095,0.0131913,-0.00113598,0.0137846,0.0110163,-1.08949
207,715,1.31619,86.5998,0.0332962,-30,208,1.31619,-86.5998,0.0206585,0.0142992,-0.000574241,0.02071,0.0142477,-0.0893358
216,715,1.83539,86.3013,0.0304899,-21,208,1.83539,-86.3013,0.01803,0.0140398,-0.000595619,0.018117,0.0139528,-0.145059
225,715,1.81939,86.2903,0.028543,-12,208,1.81938,-86.2903,0.015927,0.0138619,-0.000621103,0.0160994,0.0136895,-0.270774
234,715,1.81526,86.2206,0.0260491,-3,208,1.81526,-86.2206,0.0143223,0.0137033,-0.000648944,0.0147318,0.0132938,-0.562869
243,715,1.8432,86.1829,0.0250863,6,208,1.8432,-86.1829,0.0130222,0.0135723,-0.000686241,0.0140366,0.0125579,-0.97601
306,715,2.26641,86.7444,0.0268108,69,208,2.26642,-86.7444,0.00954609,0.0130686,-0.0010432,0.0133544,0.00926033,-1.30343
315,715,2.30736,86.8513,0.0258373,78,208,2.30737,-86.8513,0.0103688,0.0130972,-0.00112394,0.0135005,0.00996539,-1.22623
207,724,1.16802,86.9729,0.0322953,-30,199,1.16801,-86.9729,0.0202082,0.0145271,-0.000635373,0.0202784,0.0144569,-0.110028
